title|url|sentence|label
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|You need to enable JavaScript to run this app.|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Skip to main content|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|xbox.comSupport homeXbox status|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Help topicsAccount &amp; profileSubscriptions &amp; billingHardware &amp; networkingFamily &amp; online safetyGames &amp; appsFriends &amp; social activityCloud gamingAccessible gamingSystem updates|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|All MicrosoftMicrosoft 365TeamsCopilotWindowsSurfaceXboxDealsSmall BusinessSupportSoftwareSoftwareWindows AppsAIOutlookOneDriveMicrosoft TeamsOneNoteMicrosoft EdgeSkypePCs &amp; Devices PCs &amp; Devices ComputersShop XboxAccessoriesVR &amp; mixed realityCertified RefurbishedTrade-in for cashEntertainmentEntertainmentXbox Game Pass UltimatePC Game PassXbox gamesPC and Windows gamesMovies &amp; TVBusinessBusinessMicrosoft CloudMicrosoft SecurityDynamics 365Microsoft 365 for businessMicrosoft Power PlatformWindows 365Microsoft IndustrySmall BusinessDeveloper &amp; IT Developer &amp; IT AzureDeveloper CenterDocumentationMicrosoft LearnMicrosoft Tech CommunityAzure MarketplaceAppSourceVisual StudioOtherOtherMicrosoft Rewards Free downloads &amp; securityEducationGift cardsLicensingUnlocked storiesView Sitemap|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Account &amp; profile|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Account &amp; profile|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Can't sign in?Follow these steps to reset your Microsoft account password.|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|You see the following error message when you're trying to sign in to Xbox:|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|"""Sorry, something's wrong with your Microsoft account. Go to https://account.live.com for help"""|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|This means that there's a problem with your Microsoft account.|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Solution 1: Check the Xbox status|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Solution 2: Verify your Microsoft account security information|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Did this resolve the issue?|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Still need help?Chat online or request a call if available.|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|If contact us isn't working the way you expect, try the disability answer desk option on this page.Contact usContact times (Pacific Time)|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Phone supportMonday to Friday: 6:00am-5:00pmSaturday to Sunday: 6:00am-5:00pm|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Web chatMonday to Sunday: 24 hours a day|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Disability answer desk|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Accessible help and resources to get your Xbox questions answered.|1
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Customer supportContact usXbox statusXbox forumsYour Microsoft account|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|ResourcesXbox NewsFeedbackCommunity StandardsPhotosensitive seizure warningProduct safety|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|For developersGamesID@XboxWindowsCreators ProgramDesigned for Xbox|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|United States - EnglishCalifornia Consumer Privacy Act (CCPA) Opt-Out Icon|0
"""Sorry, something's wrong with your Microsoft account"" error occurs when signing in to Xbox"|https://support.xbox.com/en-US/help/account-profile/signin-security/something-wrong-microsoft-account|Your Privacy ChoicesConsumer Health PrivacySitemapPrivacyManage cookiesTerms of useTrademarksSafety &amp; ecoAbout our ads© Microsoft 2025!function(e){function r(r){for(var n,c,u=r[0],i=r[1],d=r[2],f=0,s=[];f|0
